"x"
"Food"
"Beer"
"Smoke"
"Games"
"Books"
"Hshld"
"Clths"
"Hlth"
"Chems"
"Txtls"
"Cnstr"
"Steel"
"FabPr"
"ElcEq"
"Autos"
"Carry"
"Mines"
"Coal"
"Oil"
"Util"
"Telcm"
"Servs"
"BusEq"
"Paper"
"Trans"
"Whlsl"
"Rtail"
"Meals"
"Fin"
"Other"
